,logFC,AveExpr,t,P.Value,adj.P.Val,B
LAT,-154.7,84.19,-5.317387903,0.000519057,0.032406183,-2.60439834
,-816.4,1959.12,-5.314472885,0.000521024,0.032406183,-2.60517706
CASP10,879.82,1330.83,5.297587729,0.000532581,0.032962612,-2.609702586
NUPR1,-35.58,46.41,-5.277878744,0.000546423,0.033654356,-2.615017056
,-908.82,1439.73,-5.270539024,0.000551678,0.033813012,-2.617005071
CSRP2,123.56,82.24,5.263424077,0.000556823,0.033892147,-2.618936824
RAC2,-96.92,118.44,-5.260843033,0.000558702,0.033892147,-2.61963872
SF3A2,-254.08,180.84,-5.257670818,0.000561022,0.033892147,-2.620502203
EGFR,-81.52,89.06,-5.242763558,0.000572061,0.034394492,-2.624572158
SELPLG,208.48,108.7,5.234704626,0.000578127,0.034398871,-2.626780779
NFIC,236.44,339.16,5.231663213,0.000580434,0.034398871,-2.627615838
CCL5,1454.62,1168.63,5.23140668,0.000580629,0.034398871,-2.627686312
FCGR3B,394.62,278.37,5.228254725,0.000583032,0.034398871,-2.628552684
FCGR3A,-62.68,128.66,-5.217690601,0.000591163,0.034716383,-2.631463032
ITGAX,77.82,115.67,5.206151535,0.000600185,0.035083031,-2.634653632
HSP90AB1,-46.76,40.5,-5.200866979,0.000604366,0.035164655,-2.636118911
TGOLN2,-286.28,324.24,-5.196527412,0.000607824,0.03520359,-2.637324088
RHOB,177.9,270.21,5.18696139,0.000615521,0.035486603,-2.639986874
TNFSF11,726.12,1739.98,5.168785962,0.000630437,0.03592955,-2.645069477
MYOC,-213.1,119.93,-5.167408411,0.000631584,0.03592955,-2.645455946
BTG2,197.12,436.4,5.167219998,0.000631741,0.03592955,-2.645508819
CCNB1,111.62,193.29,5.143746152,0.000651632,0.036894637,-2.652121969
XCL1,-527.14,304.83,-5.126350887,0.000666809,0.037543065,-2.657055926
XCL2,101.94,63.11,5.123839577,0.000669031,0.037543065,-2.657770581
RRAS2,-32.08,81.34,-5.115685814,0.000676303,0.037783174,-2.660095039
NA,-22.66,17.07,-5.106999316,0.000684143,0.037977849,-2.662578286
PPP1CA,23.72,73.82,5.103822732,0.000687035,0.037977849,-2.663488176
ACSM3,-379.22,502.17,-5.101878863,0.000688811,0.037977849,-2.664045445
TMT1A,1555.44,888.68,5.094738862,0.000695377,0.038048044,-2.666095422
LMO4,-39.12,80.24,-5.091794758,0.000698105,0.038048044,-2.666942121
AOC3,68.3,108.95,5.090696908,0.000699125,0.038048044,-2.667258065
SNHG32,147.58,175.65,5.083050551,0.000706273,0.038209351,-2.669461757
HSPA1B,-71.78,108.59,-5.079842581,0.000709296,0.038209351,-2.670387962
HSPA1A,122.92,154.66,5.077863727,0.000711167,0.038209351,-2.670959788
PPL,-17.72,24.46,-5.06448904,0.000723957,0.038314105,-2.674834494
ADH1C,24.16,19.88,5.064107475,0.000724326,0.038314105,-2.674945287
FAU,49.44,62.3,5.062428895,0.000725949,0.038314105,-2.675432855
SYVN1,17.74,16.47,5.060600204,0.000727722,0.038314105,-2.675964332
VAMP8,30.66,60.59,5.060016211,0.00072829,0.038314105,-2.676134128
CEP164,-58.74,41.43,-5.056066318,0.000732139,0.038356791,-2.677283419
TXNIP,100.06,150.49,5.029690934,0.000758413,0.039518723,-2.684996466
,114.54,156.69,5.026672926,0.000761484,0.039518723,-2.685883337
MYOM1,60.2,135.18,5.024495912,0.000763707,0.039518723,-2.686523624
CDO1,59.78,125.13,5.01943585,0.000768902,0.039625148,-2.688013637
PEX5,-7.28,4.92,-5.014732779,0.000773765,0.039713653,-2.689400769
GABBR1,313.28,198.5,4.989792435,0.000800114,0.040616268,-2.696792929
UBD,80.86,157.49,4.988363297,0.000801653,0.040616268,-2.697218369
SRGN,23.4,21.54,4.986214558,0.000803972,0.040616268,-2.697858405
SPP1,76.54,178.59,4.985986667,0.000804219,0.040616268,-2.697926313
IL32,130.62,126.73,4.974047314,0.000817246,0.041109736,-2.701491214
PA2G4,-50.26,123.93,-4.962279038,0.000830309,0.041410036,-2.705018849
PLCG2,82.52,176.38,4.960771179,0.000831999,0.041410036,-2.705471836
DIO3,-147.52,201.16,-4.959830989,0.000833055,0.041410036,-2.705754399
GBE1,106.74,167.21,4.954721521,0.000838817,0.041532957,-2.707291531
LAIR1,41.84,77.38,4.948867562,0.000845472,0.041698937,-2.709055834
SYNGR2,83.1,68.17,4.94480192,0.000850127,0.041765396,-2.710283175
SYNGR2P1,-939.48,1312.3,-4.936484414,0.000859738,0.042014076,-2.712799224
ADH1B,-88.04,83.52,-4.934674649,0.000861844,0.042014076,-2.713347596
TPP1,-220.86,502.17,-4.927689945,0.000870027,0.042066307,-2.715467096
DOCK2,110.42,123.89,4.921152412,0.000877762,0.042066307,-2.717455344
GPD1,31.52,39.32,4.920029297,0.000879098,0.042066307,-2.717797348
CD3D,-541.38,940.15,-4.919487475,0.000879743,0.042066307,-2.717962386
GARRE1,-21.44,23.8,-4.918928589,0.00088041,0.042066307,-2.718132652
PTPN3,289.36,901.72,4.916838634,0.000882906,0.042066307,-2.718769642
PLCG2,9.46,9.35,4.913861455,0.000886475,0.042077587,-2.719677807
AKR1C3,81.26,138.31,4.89918436,0.000904301,0.042090236,-2.724168031
,-201.7,502.97,-4.897554356,0.000906304,0.042090236,-2.724668051
RAD23A,-270.78,273.93,-4.897012386,0.000906972,0.042090236,-2.724834365
WSB2,726.34,1145.99,4.896437445,0.00090768,0.042090236,-2.72501083
HK3,-43.06,80.07,-4.895670483,0.000908626,0.042090236,-2.725246283
,18.06,18.77,4.894992626,0.000909463,0.042090236,-2.725454431
PCNA,44.48,50.78,4.893152203,0.000911739,0.042090236,-2.726019802
MAN2A2,181,121.48,4.891803622,0.000913411,0.042090236,-2.726434299
VNN2,-49.68,106.72,-4.873599638,0.000936305,0.042988328,-2.732047558
RFX5,-63.9,119.97,-4.870732386,0.000939967,0.042993665,-2.732934767
CASP8,117,249.02,4.868186588,0.000943232,0.042993665,-2.733723215
,-345.7,421.65,-4.861953483,0.000951276,0.043055088,-2.735656443
STXBP2,211.84,340,4.861858489,0.000951399,0.043055088,-2.735685937
,171.36,360.18,4.848635656,0.000968713,0.043621231,-2.739800399
HSPB6,66.92,104.84,4.844166005,0.000974642,0.043621231,-2.74119526
PTAFR,-974.5,2042.25,-4.841550666,0.00097813,0.043621231,-2.742012395
TAP1,-831.46,829.21,-4.838806696,0.000981803,0.043621231,-2.742870478
TMC6,24.04,32.48,4.837421035,0.000983664,0.043621231,-2.743304091
MAPKAPK3,-246.54,449.99,-4.836695937,0.000984639,0.043621231,-2.743531075
WIF1,140.88,321.68,4.827615998,0.000996939,0.044011718,-2.746378049
CD52,-70.32,83.22,-4.819514364,0.001008054,0.044293164,-2.748925495
BTN3A2,-120.1,131.83,-4.814331432,0.001015234,0.044293164,-2.750558774
,-95.28,127.8,-4.813306974,0.00101666,0.044293164,-2.750881938
RER1,-151.3,273.21,-4.812814172,0.001017347,0.044293164,-2.751037431
CDH11,28.64,17.48,4.80783399,0.001024314,0.044443245,-2.752610239
BCL2L2,-238.82,356.23,-4.80339601,0.001030566,0.044561373,-2.754013992
IFFO1,150.7,157.57,4.78829835,0.001052144,0.045339139,-2.758804869
FADS1,-187.24,152.94,-4.784699663,0.001057359,0.045401816,-2.759950351
TGOLN2,-62.64,51.26,-4.78234215,0.00106079,0.045401816,-2.760701498
FZD2,173.52,111.28,4.764975977,0.001086439,0.046298844,-2.766252709
CD8A,-328.4,276.68,-4.763211537,0.001089083,0.046298844,-2.766818504
TSC22D3,107.4,139.6,4.756896486,0.0010986,0.046321292,-2.768846223
ALDH6A1,128.02,144.11,4.756866383,0.001098645,0.046321292,-2.768855899
FBL,-580.7,299.07,-4.755565469,0.001100617,0.046321292,-2.769274142
PTPN6,25.72,22.3,4.751144548,0.001107346,0.04644966,-2.770696806
VDR,-118.5,346.05,-4.744976515,0.001116808,0.046569139,-2.77268516
FBL,13.02,13.71,4.744257897,0.001117916,0.046569139,-2.77291708
SYNM,114.56,267.08,4.742094517,0.001121259,0.046569139,-2.7736156
CAPZB,-33.26,34.09,-4.737206766,0.001128852,0.046578896,-2.775195608
,428.88,876.24,4.735770405,0.001131093,0.046578896,-2.775660408
FMNL1,1012.56,637.92,4.733075295,0.001135313,0.046578896,-2.776533127
NFE2L1,-164.96,328.58,-4.730959198,0.001138637,0.046578896,-2.777218896
CLDN5,-320.98,310.05,-4.730131965,0.00113994,0.046578896,-2.777487109
COL3A1,18.56,15.74,4.725675657,0.001146984,0.04671555,-2.778933233
CAMK1,9.66,12.65,4.713325,0.001166753,0.047188161,-2.782952269
FOXM1,-19.06,18.57,-4.712865503,0.001167496,0.047188161,-2.78310211
ZWINT,-34.14,27.69,-4.709331654,0.001173224,0.047188161,-2.784255246
LCK,139.56,285.4,4.709138601,0.001173537,0.047188161,-2.78431828
EZH1,-29.18,90.13,-4.705007995,0.001180273,0.047308321,-2.785667931
